"","zcta1","zcta2"
"1","10002","11201"
"2","10002","11211"
"3","10022","11101"
"4","10033","10452"
"5","10033","10453"
"6","10034","10463"
"7","10034","10468"
"8","10035","10451"
"9","10035","10454"
"10","10035","11102"
"11","10037","10451"
"12","10037","10454"
"13","10038","11201"
"14","10039","10451"
"15","10039","10452"
"16","10039","10453"
"17","10044","11101"
"18","10044","11106"
"19","10305","11209"
"20","10454","11102"
"21","10462","10465"
"22","10465","10473"
"23","10465","11357"
"24","10465","11360"
"25","11101","11222"
"26","11208","11236"
"27","11211","11378"
"28","11215","11231"
"29","11222","11378"
"30","11231","11232"
"31","11234","11697"
"32","11414","11693"
"33","10454","10455"
"34","10472","10473"
"35","10451","10454"
"36","10451","10455"
"37","10460","10472"
"38","10451","10452"
"39","10451","10456"
"40","10455","10456"
"41","10456","10459"
"42","10455","10459"
"43","10462","10472"
"44","10459","10474"
"45","10455","10474"
"46","10454","10474"
"47","10461","10462"
"48","10462","10473"
"49","10473","10474"
"50","10459","10472"
"51","10459","10460"
"52","10456","10460"
"53","10456","10457"
"54","10461","10465"
"55","10452","10456"
"56","10452","10453"
"57","10460","10462"
"58","10452","10457"
"59","10453","10457"
"60","10458","10468"
"61","10453","10468"
"62","10463","10468"
"63","10465","10475"
"64","10461","10475"
"65","10461","10469"
"66","10463","10471"
"67","10467","10469"
"68","10462","10467"
"69","10462","10469"
"70","10458","10460"
"71","10457","10460"
"72","10457","10458"
"73","10466","10469"
"74","10466","10467"
"75","10466","10470"
"76","10467","10468"
"77","10458","10467"
"78","10463","10467"
"79","10467","10470"
"80","10467","10471"
"81","10464","10475"
"82","10466","10475"
"83","10469","10475"
"84","11220","11232"
"85","11201","11205"
"86","11201","11217"
"87","11209","11220"
"88","11201","11231"
"89","11217","11231"
"90","11219","11232"
"91","11219","11220"
"92","11215","11232"
"93","11215","11217"
"94","11220","11228"
"95","11209","11228"
"96","11217","11238"
"97","11215","11238"
"98","11214","11228"
"99","11215","11218"
"100","11215","11219"
"101","11225","11238"
"102","11205","11238"
"103","11205","11217"
"104","11204","11228"
"105","11204","11214"
"106","11219","11228"
"107","11216","11238"
"108","11218","11219"
"109","11205","11216"
"110","11204","11219"
"111","11205","11206"
"112","11206","11216"
"113","11206","11221"
"114","11216","11221"
"115","11213","11216"
"116","11216","11233"
"117","11213","11233"
"118","11221","11233"
"119","11214","11223"
"120","11216","11225"
"121","11213","11225"
"122","11223","11224"
"123","11214","11224"
"124","11224","11235"
"125","11212","11233"
"126","11207","11233"
"127","11223","11235"
"128","11207","11221"
"129","11207","11237"
"130","11223","11230"
"131","11221","11237"
"132","11206","11237"
"133","11204","11223"
"134","11204","11230"
"135","11211","11222"
"136","11211","11237"
"137","11218","11230"
"138","11204","11218"
"139","11206","11211"
"140","11218","11226"
"141","11210","11226"
"142","11226","11230"
"143","11205","11211"
"144","11210","11229"
"145","11210","11230"
"146","11229","11230"
"147","11223","11229"
"148","11229","11235"
"149","11229","11234"
"150","11234","11235"
"151","11234","11236"
"152","11203","11234"
"153","11203","11210"
"154","11210","11234"
"155","11225","11226"
"156","11203","11225"
"157","11203","11226"
"158","11203","11212"
"159","11203","11213"
"160","11212","11213"
"161","11212","11236"
"162","11203","11236"
"163","11207","11236"
"164","11236","11239"
"165","11208","11239"
"166","11207","11239"
"167","11207","11208"
"168","11207","11212"
"169","10005","10038"
"170","10004","10005"
"171","10002","10038"
"172","10004","10038"
"173","10006","10007"
"174","10005","10006"
"175","10004","10006"
"176","10007","10038"
"177","10006","10038"
"178","10002","10009"
"179","10007","10013"
"180","10002","10013"
"181","10013","10038"
"182","10003","10009"
"183","10002","10003"
"184","10013","10014"
"185","10012","10014"
"186","10002","10012"
"187","10012","10013"
"188","10003","10010"
"189","10010","10011"
"190","10003","10011"
"191","10003","10012"
"192","10010","10016"
"193","10001","10016"
"194","10001","10010"
"195","10009","10010"
"196","10011","10012"
"197","10011","10014"
"198","10016","10017"
"199","10017","10036"
"200","10016","10018"
"201","10018","10036"
"202","10001","10018"
"203","10017","10022"
"204","10001","10011"
"205","10011","10018"
"206","10019","10022"
"207","10022","10065"
"208","10021","10065"
"209","10021","10022"
"210","10019","10036"
"211","10021","10075"
"212","10018","10019"
"213","10028","10075"
"214","10028","10128"
"215","10019","10023"
"216","10019","10069"
"217","10023","10069"
"218","10029","10128"
"219","10023","10024"
"220","10024","10069"
"221","10024","10025"
"222","10029","10035"
"223","10026","10029"
"224","10026","10035"
"225","10025","10026"
"226","10027","10035"
"227","10026","10027"
"228","10025","10027"
"229","10024","10027"
"230","10035","10037"
"231","10027","10037"
"232","10027","10031"
"233","10037","10039"
"234","10027","10030"
"235","10030","10037"
"236","10030","10031"
"237","10030","10039"
"238","10031","10032"
"239","10031","10039"
"240","10032","10033"
"241","10033","10040"
"242","10033","10034"
"243","10034","10040"
"244","10032","10034"
"245","10033","10039"
"246","10032","10039"
"247","10013","10282"
"248","10006","10280"
"249","10280","10282"
"250","10007","10282"
"251","10004","10280"
"252","11101","11109"
"253","11208","11421"
"254","11418","11421"
"255","11416","11418"
"256","11416","11421"
"257","11101","11106"
"258","11208","11416"
"259","11416","11417"
"260","11208","11417"
"261","11103","11106"
"262","11101","11103"
"263","11414","11417"
"264","11208","11414"
"265","11102","11106"
"266","11102","11103"
"267","11419","11420"
"268","11417","11419"
"269","11417","11420"
"270","11102","11105"
"271","11416","11419"
"272","11418","11419"
"273","11105","11370"
"274","11103","11105"
"275","11415","11418"
"276","11105","11377"
"277","11103","11377"
"278","11101","11377"
"279","11104","11377"
"280","11101","11104"
"281","11420","11436"
"282","11434","11436"
"283","11435","11436"
"284","11434","11435"
"285","11420","11435"
"286","11377","11378"
"287","11101","11378"
"288","11419","11435"
"289","11433","11435"
"290","11418","11435"
"291","11415","11435"
"292","11432","11435"
"293","11432","11433"
"294","11372","11377"
"295","11433","11434"
"296","11372","11373"
"297","11373","11377"
"298","11370","11377"
"299","11370","11372"
"300","11413","11434"
"301","11369","11370"
"302","11369","11372"
"303","11412","11434"
"304","11412","11413"
"305","11368","11369"
"306","11368","11372"
"307","11367","11368"
"308","11367","11375"
"309","11368","11375"
"310","11367","11435"
"311","11375","11435"
"312","11411","11412"
"313","11411","11413"
"314","11412","11423"
"315","11412","11433"
"316","11368","11373"
"317","11423","11433"
"318","11423","11432"
"319","11423","11427"
"320","11427","11428"
"321","11423","11428"
"322","11373","11378"
"323","11373","11379"
"324","11374","11379"
"325","11378","11379"
"326","11423","11429"
"327","11412","11429"
"328","11428","11429"
"329","11411","11429"
"330","11237","11378"
"331","11378","11385"
"332","11237","11385"
"333","11207","11385"
"334","11208","11385"
"335","11426","11428"
"336","11379","11385"
"337","11411","11422"
"338","11413","11422"
"339","11374","11385"
"340","11385","11418"
"341","11385","11421"
"342","11375","11418"
"343","11375","11385"
"344","11373","11374"
"345","11374","11375"
"346","11368","11374"
"347","11375","11415"
"348","11366","11367"
"349","11367","11432"
"350","11355","11368"
"351","11355","11367"
"352","11354","11355"
"353","11354","11368"
"354","11414","11420"
"355","11354","11357"
"356","11354","11356"
"357","11356","11357"
"358","11694","11697"
"359","11693","11694"
"360","11692","11693"
"361","11691","11692"
"362","11357","11360"
"363","11357","11358"
"364","11354","11358"
"365","11358","11360"
"366","11360","11361"
"367","11358","11361"
"368","11355","11358"
"369","11358","11365"
"370","11355","11365"
"371","11365","11367"
"372","11365","11366"
"373","11366","11432"
"374","11366","11423"
"375","11366","11427"
"376","11364","11366"
"377","11364","11427"
"378","11364","11365"
"379","11361","11364"
"380","11361","11362"
"381","11362","11364"
"382","11361","11365"
"383","11362","11363"
"384","11362","11426"
"385","11004","11426"
"386","11004","11362"
"387","11426","11427"
"388","11362","11427"
"389","10304","10305"
"390","10301","10304"
"391","10301","10310"
"392","10305","10306"
"393","10304","10306"
"394","10306","10308"
"395","10302","10310"
"396","10308","10312"
"397","10310","10314"
"398","10301","10314"
"399","10302","10314"
"400","10306","10314"
"401","10301","10306"
"402","10307","10309"
"403","10309","10312"
"404","10302","10303"
"405","10309","10314"
"406","10312","10314"
"407","10306","10312"
"408","10303","10314"
"409","10006","10282"
"410","10007","10280"
"411","10016","10036"
"412","10017","10018"
"413","10453","10458"
"414","10457","10468"
"415","10459","10473"
"416","10461","10467"
"417","10472","10474"
"418","11420","11434"
